page,chars_extracted,words_extracted,preview
99,113,15,"Plant Protection Farmer’s Handbook on Basic Agriculture 91 Source: Directorate of Weed Science Research, Jabalpur"
100,3393,549,"92 Plant Protection Farmer’s Handbook on Basic Agriculture 3.22. Control measures of weeds Principles of weed control • Prevention • Eradication • Control • Management a) Preventive weed control • Avoid using crop that are infested with weed  seeds for sowing • Avoid adding weeds to the manure pits • Nursery or planting material should be free from weeds • Keep irrigation channels, fence-lines and un-cropped areas clean • Constantly look for weed, destroy the weeds then and there • Use good qual..."
101,2388,361,Plant Protection Farmer’s Handbook on Basic Agriculture 93• Stale seedbed: Weeds are allowed to germi- nate and non-residual herbicide is sprayed to kill the young weed seedlings.  • Blind tillage: Ploughing after sowing of the crop and before plants emerge. Normally seed drills are used under rainfed condition for this purpose.  • Crop management practices: Vigorous and fast growing crop varieties for better compe-tition with weeds.  Merits of cultural method• Low cost  • Easy to adopt • Less t...
102,2387,382,94 Plant Protection Farmer’s Handbook on Basic Agriculture Formula- tionsEmulsifiable Concentrate (EC): Liquid form.  Wettable powders: Poisons mixed with  inert carrier.  Granules (G) poisons are mixed with  granular forms.  Water Soluble Concentrates (WSC)  forms are also available  3.24. Methods of application • Spraying • Broadcasting Foliar application Blanket spray: Both crop and weed is sprayed  with weedicide. Directed spray: Application of herbicides on  weeds only avoiding crop using h...
103,1947,282,Plant Protection Farmer’s Handbook on Basic Agriculture 953.28. List of Herbicides for different crops * There may be slight variation in doses. Please consult local Agricultural Extension Officer/Scien- tists from KVK or read carefully the leaflet attached along with the herbicide: Crop Herbicide Dose (kg ai/ha) Trade name and for - mulationTime of application Rice Thiobencarb 1.25 Machete 50% EC Delchlor 50% ECPre-emergence Anilophos 0.40 Thunder 50% ECSaturn 50% ECPre-emergence Pendimethalin ...
104,2977,453,"96 Plant Protection Farmer’s Handbook on Basic Agriculture 3.31. Beneficial Effects of Weeds or  Economic Uses of Weeds Several weeds have been put to certain economic  uses since ages. Some of the examples are: • Typha and Saccharum sp is used for making ropes and thatch boards. • Chicory Cichorium intybus roots are used for adding flavor to coffee powder. • Amaranthus viridis, Chenopodium album and Portulaca sp. are used as leafy vegetable.  • Hariyali grass (Cynodon dactylon) and Cenchrus Cil..."
105,2049,309,Plant Protection Farmer’s Handbook on Basic Agriculture 97Categories of Pesticides and Precautions Insecticide Group Label of Toxicity Precaution Flubendiamide Diamide Category D To be used with Caution. Emamectin Benzoate Macrocyclic Lactone -  AvermectinCategory D To be used with Caution. Spinosad Macrocyclic Lactone –  SpinosynCategory B To be used with great caution  (since toxic to bees etc.) and under the guidance of an Agri-culture Expert. Acetamiprid Neonicotinoids Category D To be used ...
106,1959,303,"98 Plant Protection Farmer’s Handbook on Basic Agriculture Difenoconazole Triazoles Category C To be used with caution and un- der the guidance of an Agricul-ture Expert. Triadimefon Triazoles Category B To be used with great caution and under the guidance of an Agriculture Expert. Tebuconazole Triazoles Category C To be used with caution and un-der the guidance of an Agricul-ture Expert. Herbicide Group Label of Toxicity Precaution 2,4-D Chlorophenoxy acid or esterCategory C To be used with cau..."
107,2468,379,"Farm Management Farmer’s Handbook on Basic Agriculture 994.1. Objectives of the session  • To equip the farmer to take advantage of improved technologies and market opportunities to increase  income. • To assist the farmer to make proper plan and adopts his production to assure food security for the family. • To empower the farmer for professional negotiations with buyers, input dealers and credit institutions. • To educate the farmer to make profitable decisions considering available resources ..."
108,3428,532,"100 Farm Management Farmer’s Handbook on Basic Agriculture Therefore the objectives of farming as a  business are:  • How to choose best variety/crop/cropping pat- tern • How to minimise input cost by judicious use  • How to increase the production and productiv-ity • How to enhance the quality • How to plan market driven production • Choosing the better source of finance and bet-ter avenues for investment • Efficient risk management For better farm management, the farm- er should have thorough ..."
109,2264,373,"Farm Management Farmer’s Handbook on Basic Agriculture 101Inputs Tools and equipment Labour Money Land  Seeds  Fertiliser Insecticide  FungicidePlough, hoe, spray-er, thresher, TractorsFamily and Paid workersSelf finance and creditOwn / Rented land Share-cropping What does one need to know about the market if one wants to do good business?  The market for agricultural produce The market for inputs and equipment The location of the market The locations of sale Who is the buyer? Who sells the inpu..."
110,1241,201,"102 Farm Management Farmer’s Handbook on Basic Agriculture for one season. With these three crops, farmers can  grow the following combinations in a year: • Paddy – Paddy (Kharif followed by Rabi) • Paddy – Maize (Kharif followed by Rabi) • Cotton – Maize (Kharif followed by Rabi) • Maize – Maize (Kharif followed by Rabi) Exercise 1: Agricultural Calendar of Operations to Plan the Production of Paddy.  The times of work… Of the main season are shown by a square  Of the off-season are shown by a ..."
111,1086,183,Farm Management Farmer’s Handbook on Basic Agriculture 103Exercise Sheet 2: Paddy Blank sheet to be filled by Farmer based on worked solution given below.  Steps:  • Multiply the quantity with the price in each line • Add the money spent (“Expenditure”) on inputs and labour • Multiply the yield by the price of sale (“Income”) • Subtract the sum of “money-out” from the “Income” • Determine if there was a gain or a loss Activity Unit Quantity Price Total (Rs.) Preparatory cultivation a) Machine / ...
112,1098,188,104 Farm Management Farmer’s Handbook on Basic Agriculture Activity Unit Quantity Price Total (Rs.) Furadon-3G Kg c) Cost of Application Labour Sub-Total Irrigation cost if any Power month Sub-TotalCost of harvest a) Combined harvester Hours Post harvest charges b) Cleaning and bagging (Human Labor) days Sub total Total cost of cultivation Yield Kgs/Ha. and returns a) Qty. produced Qtls. per ha qtls b) Gross returns received per ha (Rs.)c) Total cost involved per Ha (Rs.) d) Net returns per Ha (...
113,1100,194,Farm Management Farmer’s Handbook on Basic Agriculture 105Activity Unit Quantity Price Total (Rs.) c) Cost of fertilizer Kgs 120 N 12 1440 60 P 50 3000 40 K 28 1120 d) Application cost (Human Labour Male) Days 3 200 600 Sub-Total 6610 Weed control a) Cost of Manual weeding Labour 30 200 6000 b) Cost of herbicide if any (butachlor) Litre 2.5 200 500 Sub-Total 6500 Plant Protection a) Cost of bio-agents b) Cost of pesticides (Thiamethoxam/pro- fenophos)Litres 5 350 1750 Furadon-3G Kg 15 60 900 c) ...
114,973,153,"106 Farm Management Farmer’s Handbook on Basic Agriculture Exercise 1: Agricultural Calendar of Operations to Plan the Production of Maize  The times of work… Of the main season are shown by a square  Of the off-season are shown by a circle  The tasks of the farmerJanuaryFeb.MarchAprilMayJuneJulyAugustSept.OctoberNov.Dec.  Prepare the field Plough the field Purchase seeds Sow Fertilizer application Weeding Apply insecticide Harvest and store Important Lesson: For a good yield, the farmer plans t..."
115,1066,179,Farm Management Farmer’s Handbook on Basic Agriculture 107Exercise Sheet - 2 (Maize – Blank sheet to be filled by Farmer based on worked  solution given below. Steps:  • Multiply the quantity with the price in each line • Add the money spent (“Expenditure”) on inputs and labour • Multiply the yield by the price of sale (“Income”) • Subtract the sum of “money-out” from the “Income” • Determine if there was a gain or a loss Activity Unit Quantity Price Total (Rs.) Preparatory cultivation a) Machin...
116,1108,196,108 Farm Management Farmer’s Handbook on Basic Agriculture Activity Unit Quantity Price Total (Rs.) Irrigation cost if any Power month Sub-Total Cost of harvest a) Combined harvester Hours Post harvest charges b) Cleaning and bagging (Human Labor) days Sub totalTotal cost of cultivation Yield Kgs/Ha. and returns a) Qty. produced Qtls. per ha qtls b) Gross returns received per ha (Rs.)c) Total cost involved per Ha (Rs.) d) Net returns per Ha (Rs.) e) Cost benefit ratio (Gross Returns divided  by ...
117,946,168,Farm Management Farmer’s Handbook on Basic Agriculture 109Activity Unit Quantity Price Total (Rs.) a) Cost of Manual weeding Labour 20 150 3000 b) Cost of herbicide if any (butachlor) Days 4 500 2000 Sub-Total 5000 Plant Protection a) Cost of bio-agents b) Cost of pesticides Litres 5 300 1500 Furadon-3G Kg 10 60 600 c) Cost of Application Labour 4 200 8 Sub-Total 2900 Irrigation cost if any Power 4 500 2000 Sub-Total 2000 Cost of harvest a) human labour days 20 200 4000 b) Threshing (machine) qu...
118,974,154,"110 Farm Management Farmer’s Handbook on Basic Agriculture Exercise 1: Agricultural Calendar - Operations to Plan the Production of Cotton The times of work… Of the main season are shown by a square  Of the off-season are shown by a circle  The tasks of the farmerJanuaryFeb.MarchAprilMayJuneJulyAugustSept.OctoberNov.Dec.  Prepare the field Plough the field Purchase seeds Sow Fertilizer  application Weeding Apply insecticide Harvest and store Important Lesson: For a good yield, the farmer plans t..."
119,1135,187,Farm Management Farmer’s Handbook on Basic Agriculture 111Exercise Sheet - 2 (Cotton - Bt Cotton) – Blank sheet to be filled by Farmer based  on worked solution given below. Steps:  • Multiply the quantity with the price in each line.  • Add the money spent (“Expenditure”) on inputs and labour • Multiply the yield by the price of sale (“Income”) • Subtract the sum of “money-out” from the “Income” • Determine if there was a gain or a loss Cost of Cultivation Cotton (per hectare) Activity Unit Qua...
120,1075,195,112 Farm Management Farmer’s Handbook on Basic Agriculture Activity Unit Quantity Price Total (Rs.) Irrigation cost if any Power Sub-Total Cost of harvest a) Picking Kgs Sub total Total cost of cultivation Yield Kgs/Ha. and returns a) Qty. produced Qtls. per ha qtls b) Gross returns received per ha (Rs.) c) Total cost involved per Ha (Rs.) d) Net returns per Ha (Rs.) e) Cost benefit ratio (Gross Returns divided  by Total Cost) Solution to exercise 3 – Cotton Cost of Cultivation of Cotton (per he...
121,1028,166,Farm Management Farmer’s Handbook on Basic Agriculture 113Activity Unit Quantity Price Total (Rs.) b) Cost of herbicide if any (butachlor) Days  Sub-Total 11250 Plant Protection a) Cost of bio-agents b) Cost of pesticides (Imidacloprid/ Thia- methoxam/profenophos)Litres 10 350 3500 Furadon-3G Kg c) Cost of Application Labour 20 200 4000 Sub-Total 7500 Irrigation cost if any Power 6 500 3000 Sub-Total 3000 Cost of harvest a) Picking Kgs 2500 6 15000 Sub total 15000 Total cost of cultivation 57154...
122,2471,434,114 Farm Management Farmer’s Handbook on Basic Agriculture Module 4: Income and expenditure statement Comparing results to know whether you are doing successful farm business Please tell what is good and what is bad business and indicate the reasons.  Crop Unit 1 ha of Paddy 1 ha maize 1 ha Cotton Production Quintal 50 q Main product = 40 q By Product (stover/ Straw) = 4 cart load25 q Income Rs/ha 81400 42000 90000 Expenditure Rs/ha 46160 31375 57154 Profit or Loss?Rs/ha + 35240 + 10625 + 32846 ...
123,1176,194,"Farm Management Farmer’s Handbook on Basic Agriculture 115What are Fixed Costs? Certain costs are called fixed costs. These are costs for equipment and tools that the farmer owns and  are used for various crops over several years, such as sprayers, irrigation pumps, buildings etc. The  Fixed Costs do not vary with the size of the field.  Blank Exercise sheet of Income and Expenditure Statement: Comparing Results to know whether you are  doing successful Farm Business After, all the calculations ..."
124,1432,256,"116 Farm Management Farmer’s Handbook on Basic Agriculture Module 5: Manage your Money throughout the Y ear Bad management of money  • How does one know if the money is managed badly?  • What are the causes?  • What must one do to manage money well during the year?  One must plan! The person, who fails to plan, plans to fail!  First Step: Please look at Income and Expenditure for different crops on the farm and also look at  household expenditures. Below are the expenditures of a Household of 5 ..."
125,1234,226,Farm Management Farmer’s Handbook on Basic Agriculture 117Expenditure Jan Feb Mar Apr May Jun Jul Aug Sept Oct Nov Dec Paddy  (1 ha) - Kharif Cost of Inputs including labour 6550 18610 7400 3450 8150 2000 Paddy(1 ha) - Summer Cost of Inputs including labour 18610 7400 3450 8150 2000 6550 Household 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 3000 School fees and material Happy events 1000 1000 Clothing 5000 1000 Unexpected events 300 300 300 300 300 300 300 300 300 300 300 300 Total pe...
126,2860,478,"118 Farm Management Farmer’s Handbook on Basic Agriculture * As the income is realised only during May and November, the monthly balance is shown as negative  which indicates that the farmers raises a hand loan/personal loan or shall keep the gross income (Rs 81,400  X 2 = 162,800) and spend through out the year based on the need.  Note: In this example all produce from the farm is sold as per the prevailing market rates. The profit of the  farmer depends on the price for the produce i.e., wheth..."
127,1606,249,"Farm Management Farmer’s Handbook on Basic Agriculture 119Anticipated Risks Remarks Lack of capital for investment for Paddy – Paddy or  Cotton - MaizePaddy and Maize is preferred followed by Maize - Maize Serious pest problems in Cotton Paddy – Paddy is preferred  Main Lessons • Comparing the gross margins of different crops and the production techniques, helps to make decisions on using the land to maximise revenue. This comparison is important to all agricul-tural entrepreneurs. • Comparing t..."
128,0,0,
129,2213,334,"Occupational Health and Safety Farmer’s Handbook on Basic Agriculture 1215.1. Objectives of the session  • To create an awareness about causes of health hazards, risks and fatalities in agriculture. • To impart the knowledge on preventive measures of health hazards in agriculture.  • To enlighten the farmers on use of first aid in emergencies. 5.2. What we know at the end of the session • Important occupational health hazards in agriculture • Factors responsible for increasing risk of injury or ..."
130,3224,473,"122 Occupational Health and Safety Farmer’s Handbook on Basic Agriculture Gases, pathogen • Skin diseases such as fungal infections  and allergic reactions • Parasitic diseases such as malaria, sleeping sickness and hookworm • Animal related diseases such as an-thrax, bovine tuberculosis and rabies (at least 40 of the 250 animal related diseases are occupational diseases in agriculture) • Cancers• Workers are in direct contact with en-vironmental pathogens, fungi, infect-ed animals, and allergen..."
131,3304,549,Occupational Health and Safety Farmer’s Handbook on Basic Agriculture 123Buying pesticides  Before buying think over this • Which pest is to be controlled? • Is damage crossing threshold level requiring  pesticide use? • Have you observed any predators that check pest attack? • What is the recommendation for the ob-served problem? • Which is the least toxic and low persistent chemical among recommendations? While buying • Buy from a reputed and licensed store. • Buy only required quantity and no...
132,1933,307,124 Occupational Health and Safety Farmer’s Handbook on Basic Agriculture • Take the patient to doctor at the earliest. • Take the container along with patient to consult  doctor. Snake and other animal bites or attacks  and precautions Snakebite is a routinely occurring life threatening  emergency in India. The mortality and morbidity  associated with the diverse presentation of snake- bites can be decreased if a proper history of the patient’s background and habits combined with a thorough kno...
133,1053,167,"Occupational Health and Safety Farmer’s Handbook on Basic Agriculture 125 • Make sure that appropriate protective clothing is available and is used  • Train all concerned with the application and also understand the recom- mendations. Ensure that soap, towel and plenty of water is available. • Pesticide should be kept in dry and locked store. During spraying • Take only sufficient pesticide for the day’s application from the store to the site. • DO NOT transfer pesticides from original container..."
134,994,161,126 Occupational Health and Safety Farmer’s Handbook on Basic Agriculture • Follow correct spray technique. Spray plant crop thoroughly by operating  sprayer at correct speed and correct pressure. • Never allow children or their unauthorized persons to be nearby during mixing. Never leave pesticides unattended in the field.  • Never spray if the wind is blowing towards grazing livestock or pastures regularly used. • Spraying should be done in the direction of Wind. After spraying • Remaining pes...
135,2732,438,"Occupational Health and Safety Farmer’s Handbook on Basic Agriculture 127 • Remove and wash protective clothing and footwear. • Wash yourself well and put on clean clothing. • Keep an accurate record of pesticide usage.  • Prevent persons from entering treated areas until it is safe to do so. • Mark the sprayed plots with a flag. Source : tnauagriportal 5.9 Basic Measures to Manage  Weeds, Diseases and Pest Problems  • Prevention is better than cure, hence follow the  preventive measures discuss..."
136,3942,655,"128 Occupational Health and Safety Farmer’s Handbook on Basic Agriculture • Never reach over or work near unguarded ro- tating parts. • Turn off machinery to attend to repairs. • Always replace shields that were removed  for maintenance. • Plug unused or failed borewell pits • Check all equipment for potential w.rap points (e.g. where clothing or hair could be wrapped around a shaft) and if possible, shield those points. • Replace any damaged manufacturer installed warning labels and place warni..."
137,1589,255,Occupational Health and Safety Farmer’s Handbook on Basic Agriculture 129• Triangular and roller bandages  • Cotton (1 roll)  • Band-aids (Plasters) • Scissors  • Pen torch • Latex gloves (2 pair)  • Tweezers  • Needle  • Moistened towels and clean dry cloth pieces.  • Antiseptic (Savlon or dettol)  • Thermometer  • Tube of petroleum jelly or other lubricant  • Assorted sizes of safety pins  • Cleansing agent/soap Non-prescription drugs  • Aspirin or paracetamol pain relievers  • Antidiarrhea me...
138,0,0,
139,2873,407,"Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 1316.1. Objectives of the session  • To enhance awareness about source of extension, information and services among farmers.  • To expose farmers to public and private extension services.  • To encourage farmers to avail extension services through ICT means. • To enhance farmers knowledge on agricultural credit, insurance and legal aspects. 6.2. What we know at the end of the session Sources of extension and nature of services pro..."
140,2578,354,132 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture banks and Primary Societies • Extend agriculture credits under priority sector • Implement NABARD schemes • Implement Government schemes • Implement social security schemes • Extends crop loans  Land (Agriculture & Rural) Development Banks • Extend medium and long term credit to agri- culture • Implement government schemes Public sector extension: Represented mainly  by the State Agriculture and allied departments continues to...
141,3567,465,"Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 133livestock, fisheries, inputs, credit, government  scheme benefits, through toll free number 1800 180  1551 OR 1551 from 6 A.M. to 10 P .M. except on  Sundays and Gazetted holidays. Beyond these hours the calls are attended in the IVRS mode. Qualified professional in local language provides the advisory. Krishi Vigyan Kendra (KVK): A district sci- entific organizations that works on technology gen-eration, refinement and dissemi..."
142,3470,491,"134 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture Mass Media • Rapidly expanding mass media ensures easy  access to information to farmers on real time basis. • Agricultural magazines, newspapers provide updated information on agriculture to farmers regularly. • Community radio, radio, and television pro-vides updated information to the farmers.  • Mobile is also widely used as channel for reach-ing farmers by many organizations. Internet opens worldwide information to the do..."
143,3469,578,"Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 135address, particulars of land holding, borrow- ing limit, validity period, a passport size pho-tograph of holder which may serve both as an identity card and facilitate recording of transac-tions on an ongoing basis. • Borrower is required to produce the card cum pass book whenever he/she operates the ac-count. Banks implementing KCC • Allahabad Bank - Kisan Credit Card (KCC) • Andhra Bank - AB Kisan Green Card • Bank of Baroda ..."
144,2348,311,"136 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture (Coffee Insurance) • Rubber Insurance • Coconut Insurance • Varsha Bima/Rainfall Insurance • Rabi Weather Insurance • Wheat Insurance (Weather & Biomass) • Potato Insurance • Bio-Fuel Tree/Plant Insurance • Pulpwood Tree Insurance • Cardamom Plant & Yield Insurance 6.6 . Legal aspects It is important for farmers to know the legal as- pects of important inputs namely seeds, fertiliz- ers, pesticides, etc. The Seeds Act 1966 dea..."
145,80,11,Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 137  WORKSHEET
146,80,11,138 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture  WORKSHEET
147,80,11,Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 139  WORKSHEET
148,80,11,140 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture  WORKSHEET
149,80,11,Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 141  WORKSHEET
150,80,11,142 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture  WORKSHEET
151,80,11,Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 143  WORKSHEET
152,80,11,144 Farmer's Access to Service Farmer’s Handbook on Basic Agriculture  WORKSHEET
153,0,0,
154,588,68,"For further information,  contact:  Dr. P . Chandra Shekara National Institute of Agricultural  Extension Management (MANAGE)Ministry of AgricultureGovernment of IndiaHyderabad, Andhra PradeshIndia  Mrs. Sabine Preuss Programme Director Natural Resource ManagementDeutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbHA2/18, Safdurjung Enclave 2nd floor, New Delhi - 110029 India Mr. Rajiv Ahuja  Technical Expert Natural Resource Management ProgrammeDeutsche Gesellschaft für Internation..."
